what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330556495850
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330556506646
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330556508409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556515605
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556549715
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1330556551843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556553703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556555548
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1330556557336
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1330556561424
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1330556561519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556617692
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556646864
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556658700
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556662614
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330556711896
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1330556729144
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330556739815
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1330556749608
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1330556751335
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556752254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556803647
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1330556814295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556819779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556834383
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1330556834435
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1330556835750
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1330556835847
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556859536
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556874684
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1330556874714
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556876740
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556878251
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1330556879486
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556881779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556891129
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330556906049
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330556909834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330556911781
error,log,,,"Can't find file C:\\Users\\tma\\CS141b-2\\cs141b-hw5-client\\CollaboratorAndroid\\AndroidManifest.xml in workspace",1330556924028
