what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1331201276845
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1331201277475
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1331201277851
closed,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1331201288940
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1331201307379
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201316414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201318917
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1331201318946
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201319969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201328934
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201329902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201331144
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1331201337097
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1331201337681
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1331201337996
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1331201338169
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201351818
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201355359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201355682
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201355880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201356010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201356854
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201357092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201359279
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1331201364805
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1331201372034
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201376228
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201388797
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1331201406882
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1331201407711
activated,editor,com.google.gwt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1331201408303
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1331201409002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201431003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201460487
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201467779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201471019
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1331201491967
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1331201505868
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1331201560873
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1331201561194
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331201574222
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1331201576291
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201702343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201804312
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1331201808897
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331201819827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331201857856
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331202023165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331202028644
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331202033769
